row_id	Order_ID	Order_Date	Ship_Date	Ship_Mode	Product_ID	Customer_ID
56	CA-2016-111682	6/17/2016	6/18/2016	First Class	OFF-ST-10000604	TB-21055
57	CA-2016-111682	6/17/2016	6/18/2016	First Class	OFF-PA-10001569	TB-21055
58	CA-2016-111682	6/17/2016	6/18/2016	First Class	FUR-CH-10003968	TB-21055
59	CA-2016-111682	6/17/2016	6/18/2016	First Class	OFF-PA-10000587	TB-21055
60	CA-2016-111682	6/17/2016	6/18/2016	First Class	TEC-AC-10002167	TB-21055
61	CA-2016-111682	6/17/2016	6/18/2016	First Class	OFF-BI-10001460	TB-21055
62	CA-2016-111682	6/17/2016	6/18/2016	First Class	OFF-AR-10001868	TB-21055
68	CA-2014-106376	12/5/2014	12/10/2014	Standard Class	OFF-AR-10002671	BS-11590
69	CA-2014-106376	12/5/2014	12/10/2014	Standard Class	TEC-PH-10002726	BS-11590
73	US-2015-134026	4/26/2015	5/2/2015	Standard Class	FUR-CH-10000513	JE-15745
74	US-2015-134026	4/26/2015	5/2/2015	Standard Class	FUR-FU-10003708	JE-15745
75	US-2015-134026	4/26/2015	5/2/2015	Standard Class	OFF-ST-10004123	JE-15745
86	CA-2017-140088	5/28/2017	5/30/2017	Second Class	FUR-CH-10000863	PO-18865
104	US-2015-156867	11/13/2015	11/17/2015	Standard Class	TEC-AC-10001552	LC-16870
105	US-2015-156867	11/13/2015	11/17/2015	Standard Class	FUR-FU-10004006	LC-16870
110	CA-2015-129476	10/15/2015	10/20/2015	Standard Class	TEC-AC-10000844	PA-19060
118	CA-2015-110457	3/2/2015	3/6/2015	Standard Class	FUR-TA-10001768	DK-13090
125	US-2014-152030	12/26/2014	12/28/2014	Second Class	FUR-CH-10004063	AD-10180
126	US-2014-134614	9/20/2014	9/25/2014	Standard Class	FUR-TA-10004534	PF-19165
127	US-2017-107272	11/5/2017	11/12/2017	Standard Class	OFF-BI-10003274	TS-21610
128	US-2017-107272	11/5/2017	11/12/2017	Standard Class	OFF-ST-10002974	TS-21610
129	US-2016-125969	11/6/2016	11/10/2016	Second Class	FUR-CH-10001146	LS-16975
130	US-2016-125969	11/6/2016	11/10/2016	Second Class	FUR-FU-10003773	LS-16975
145	CA-2017-155376	12/22/2017	12/27/2017	Standard Class	OFF-AP-10001058	SG-20080
146	CA-2015-110744	9/7/2015	9/12/2015	Standard Class	OFF-ST-10003656	HA-14920
148	CA-2016-114489	12/5/2016	12/9/2016	Standard Class	TEC-PH-10000215	JE-16165
149	CA-2016-114489	12/5/2016	12/9/2016	Standard Class	TEC-PH-10001448	JE-16165
150	CA-2016-114489	12/5/2016	12/9/2016	Standard Class	FUR-CH-10000454	JE-16165
151	CA-2016-114489	12/5/2016	12/9/2016	Standard Class	OFF-BI-10002735	JE-16165
158	CA-2014-104269	3/1/2014	3/6/2014	Second Class	FUR-CH-10004063	DB-13060
159	CA-2016-114104	11/20/2016	11/24/2016	Standard Class	OFF-LA-10002475	NP-18670
160	CA-2016-114104	11/20/2016	11/24/2016	Standard Class	TEC-PH-10004536	NP-18670
165	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	OFF-AR-10004441	BM-11140
166	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	TEC-MA-10000822	BM-11140
167	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	OFF-ST-10000991	BM-11140
168	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	FUR-CH-10004287	BM-11140
169	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	OFF-AR-10002656	BM-11140
170	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	OFF-AP-10002518	BM-11140
171	CA-2014-139892	9/8/2014	9/12/2014	Standard Class	TEC-PH-10003931	BM-11140
172	CA-2014-118962	8/5/2014	8/9/2014	Standard Class	OFF-PA-10000659	CS-12130
173	CA-2014-118962	8/5/2014	8/9/2014	Standard Class	OFF-PA-10001144	CS-12130
174	CA-2014-118962	8/5/2014	8/9/2014	Standard Class	FUR-CH-10003817	CS-12130
178	US-2015-101511	11/21/2015	11/23/2015	Second Class	FUR-CH-10004698	JE-15745
179	US-2015-101511	11/21/2015	11/23/2015	Second Class	OFF-SU-10002189	JE-15745
181	CA-2014-166191	12/5/2014	12/9/2014	Second Class	OFF-ST-10003455	DK-13150
182	CA-2014-166191	12/5/2014	12/9/2014	Second Class	TEC-AC-10004659	DK-13150
183	CA-2014-158274	11/19/2014	11/24/2014	Second Class	TEC-PH-10003273	RM-19675
184	CA-2014-158274	11/19/2014	11/24/2014	Second Class	TEC-PH-10004896	RM-19675
185	CA-2014-158274	11/19/2014	11/24/2014	Second Class	TEC-AC-10002345	RM-19675
190	CA-2015-102281	10/12/2015	10/14/2015	First Class	FUR-BO-10002613	MP-17470
191	CA-2015-102281	10/12/2015	10/14/2015	First Class	TEC-PH-10001552	MP-17470
192	CA-2015-102281	10/12/2015	10/14/2015	First Class	OFF-PA-10000061	MP-17470
193	CA-2015-102281	10/12/2015	10/14/2015	First Class	FUR-BO-10002545	MP-17470
194	CA-2015-102281	10/12/2015	10/14/2015	First Class	OFF-AR-10003514	MP-17470
206	CA-2017-108329	12/9/2017	12/14/2017	Standard Class	TEC-PH-10001918	LE-16810
213	CA-2015-146262	1/2/2015	1/9/2015	Standard Class	OFF-LA-10004544	VW-21775
214	CA-2015-146262	1/2/2015	1/9/2015	Standard Class	FUR-BO-10004695	VW-21775
215	CA-2015-146262	1/2/2015	1/9/2015	Standard Class	TEC-PH-10002844	VW-21775
216	CA-2015-146262	1/2/2015	1/9/2015	Standard Class	TEC-MA-10000864	VW-21775
217	CA-2015-146262	1/2/2015	1/9/2015	Standard Class	TEC-AC-10000109	VW-21775
218	CA-2016-130162	10/28/2016	11/1/2016	Standard Class	OFF-ST-10001328	JH-15910
219	CA-2016-130162	10/28/2016	11/1/2016	Standard Class	TEC-PH-10002563	JH-15910
220	CA-2015-169397	12/24/2015	12/27/2015	First Class	OFF-FA-10000585	JB-15925
221	CA-2015-169397	12/24/2015	12/27/2015	First Class	OFF-PA-10004000	JB-15925
222	CA-2015-169397	12/24/2015	12/27/2015	First Class	OFF-BI-10002852	JB-15925
223	CA-2015-169397	12/24/2015	12/27/2015	First Class	FUR-FU-10000087	JB-15925
224	CA-2015-169397	12/24/2015	12/27/2015	First Class	TEC-MA-10001148	JB-15925
225	CA-2015-169397	12/24/2015	12/27/2015	First Class	OFF-AR-10001958	JB-15925
226	CA-2015-163055	8/9/2015	8/16/2015	Standard Class	OFF-AR-10001026	DS-13180
227	CA-2015-163055	8/9/2015	8/16/2015	Standard Class	FUR-TA-10003748	DS-13180
228	CA-2015-163055	8/9/2015	8/16/2015	Standard Class	OFF-ST-10002485	DS-13180
229	US-2015-145436	2/28/2015	3/4/2015	Standard Class	FUR-CH-10004860	VD-21670
230	US-2015-145436	2/28/2015	3/4/2015	Standard Class	FUR-CH-10004477	VD-21670
232	US-2017-100930	4/7/2017	4/12/2017	Standard Class	FUR-TA-10001705	CS-12400
233	US-2017-100930	4/7/2017	4/12/2017	Standard Class	FUR-TA-10003473	CS-12400
234	US-2017-100930	4/7/2017	4/12/2017	Standard Class	OFF-BI-10001679	CS-12400
235	US-2017-100930	4/7/2017	4/12/2017	Standard Class	FUR-FU-10004017	CS-12400
236	US-2017-100930	4/7/2017	4/12/2017	Standard Class	TEC-AC-10003832	CS-12400
238	CA-2016-157749	6/4/2016	6/9/2016	Second Class	OFF-PA-10003349	KL-16645
239	CA-2016-157749	6/4/2016	6/9/2016	Second Class	FUR-FU-10000576	KL-16645
240	CA-2016-157749	6/4/2016	6/9/2016	Second Class	FUR-FU-10004351	KL-16645
241	CA-2016-157749	6/4/2016	6/9/2016	Second Class	TEC-PH-10000011	KL-16645
242	CA-2016-157749	6/4/2016	6/9/2016	Second Class	FUR-TA-10002607	KL-16645
243	CA-2016-157749	6/4/2016	6/9/2016	Second Class	FUR-FU-10002505	KL-16645
244	CA-2016-157749	6/4/2016	6/9/2016	Second Class	OFF-AR-10004685	KL-16645
245	CA-2014-131926	6/1/2014	6/6/2014	Second Class	FUR-CH-10004063	DW-13480
246	CA-2014-131926	6/1/2014	6/6/2014	Second Class	OFF-ST-10002276	DW-13480
247	CA-2014-131926	6/1/2014	6/6/2014	Second Class	OFF-PA-10004082	DW-13480
248	CA-2014-131926	6/1/2014	6/6/2014	Second Class	OFF-AP-10002945	DW-13480
249	CA-2014-131926	6/1/2014	6/6/2014	Second Class	OFF-PA-10000061	DW-13480
250	CA-2016-154739	12/10/2016	12/15/2016	Second Class	FUR-CH-10002965	LH-17155
251	CA-2016-145625	9/11/2016	9/17/2016	Standard Class	OFF-PA-10004569	KC-16540
252	CA-2016-145625	9/11/2016	9/17/2016	Standard Class	TEC-AC-10003832	KC-16540
253	CA-2016-146941	12/10/2016	12/13/2016	First Class	OFF-ST-10001228	DL-13315
254	CA-2016-146941	12/10/2016	12/13/2016	First Class	OFF-EN-10003296	DL-13315
255	US-2015-159982	11/28/2015	12/4/2015	Standard Class	FUR-FU-10002505	DR-12880
257	US-2015-159982	11/28/2015	12/4/2015	Standard Class	OFF-ST-10001590	DR-12880
258	US-2015-159982	11/28/2015	12/4/2015	Standard Class	TEC-PH-10001580	DR-12880
263	US-2014-106992	9/19/2014	9/21/2014	Second Class	TEC-MA-10000822	SB-20290
264	US-2014-106992	9/19/2014	9/21/2014	Second Class	TEC-MA-10003353	SB-20290
265	CA-2016-125318	6/6/2016	6/13/2016	Standard Class	TEC-PH-10001433	RC-19825
271	CA-2017-163979	12/28/2017	1/2/2018	Second Class	OFF-ST-10003208	KH-16690
281	US-2015-161991	9/26/2015	9/28/2015	Second Class	OFF-BI-10004967	SC-20725
282	US-2015-161991	9/26/2015	9/28/2015	Second Class	TEC-PH-10001760	SC-20725
283	CA-2015-130890	11/2/2015	11/6/2015	Standard Class	FUR-TA-10002903	JO-15280
284	CA-2015-130883	9/26/2015	10/2/2015	Standard Class	OFF-PA-10000474	TB-21520
285	CA-2015-130883	9/26/2015	10/2/2015	Standard Class	TEC-AC-10001956	TB-21520
286	CA-2015-130883	9/26/2015	10/2/2015	Standard Class	OFF-PA-10004100	TB-21520
287	CA-2016-112697	12/18/2016	12/20/2016	Second Class	OFF-BI-10000778	AH-10195
288	CA-2016-112697	12/18/2016	12/20/2016	Second Class	OFF-AP-10002684	AH-10195
289	CA-2016-112697	12/18/2016	12/20/2016	Second Class	OFF-SU-10000646	AH-10195
290	CA-2016-110772	11/20/2016	11/24/2016	Second Class	OFF-FA-10002983	NZ-18565
291	CA-2016-110772	11/20/2016	11/24/2016	Second Class	OFF-LA-10004689	NZ-18565
292	CA-2016-110772	11/20/2016	11/24/2016	Second Class	TEC-AC-10002001	NZ-18565
293	CA-2016-110772	11/20/2016	11/24/2016	Second Class	FUR-BO-10004709	NZ-18565
294	CA-2014-111451	12/26/2014	12/28/2014	First Class	FUR-FU-10004091	KL-16555
295	CA-2014-111451	12/26/2014	12/28/2014	First Class	FUR-CH-10001891	KL-16555
296	CA-2014-111451	12/26/2014	12/28/2014	First Class	FUR-FU-10002918	KL-16555
297	CA-2014-111451	12/26/2014	12/28/2014	First Class	OFF-BI-10004593	KL-16555
298	CA-2014-111451	12/26/2014	12/28/2014	First Class	OFF-FA-10004854	KL-16555
307	CA-2014-111003	6/1/2014	6/6/2014	Standard Class	OFF-BI-10001072	CR-12625
308	CA-2014-111003	6/1/2014	6/6/2014	Standard Class	OFF-AR-10002135	CR-12625
310	CA-2016-142902	9/12/2016	9/14/2016	Second Class	FUR-FU-10001918	BP-11185
311	CA-2016-142902	9/12/2016	9/14/2016	Second Class	FUR-CH-10004086	BP-11185
312	CA-2016-142902	9/12/2016	9/14/2016	Second Class	FUR-FU-10001756	BP-11185
313	CA-2016-142902	9/12/2016	9/14/2016	Second Class	OFF-LA-10000634	BP-11185
318	CA-2014-164973	11/4/2014	11/9/2014	Standard Class	FUR-CH-10002602	NM-18445
319	CA-2014-164973	11/4/2014	11/9/2014	Standard Class	TEC-MA-10002927	NM-18445
320	CA-2014-164973	11/4/2014	11/9/2014	Standard Class	TEC-PH-10004093	NM-18445
321	CA-2014-164973	11/4/2014	11/9/2014	Standard Class	TEC-AC-10000892	NM-18445
322	CA-2014-164973	11/4/2014	11/9/2014	Standard Class	OFF-ST-10002974	NM-18445
324	CA-2016-162138	4/23/2016	4/27/2016	Standard Class	OFF-BI-10004593	GK-14620
325	CA-2016-162138	4/23/2016	4/27/2016	Standard Class	TEC-AC-10001908	GK-14620
327	US-2016-141544	8/30/2016	9/1/2016	First Class	TEC-PH-10003645	PO-18850
328	US-2016-141544	8/30/2016	9/1/2016	First Class	OFF-ST-10000675	PO-18850
329	US-2016-141544	8/30/2016	9/1/2016	First Class	FUR-CH-10003312	PO-18850
330	US-2016-141544	8/30/2016	9/1/2016	First Class	OFF-LA-10001074	PO-18850
331	US-2016-141544	8/30/2016	9/1/2016	First Class	OFF-BI-10001524	PO-18850
335	CA-2015-137946	9/1/2015	9/4/2015	Second Class	OFF-BI-10001922	DB-13615
336	CA-2015-137946	9/1/2015	9/4/2015	Second Class	TEC-CO-10001449	DB-13615
337	CA-2015-137946	9/1/2015	9/4/2015	Second Class	OFF-BI-10004140	DB-13615
338	CA-2014-129924	7/12/2014	7/17/2014	Standard Class	OFF-BI-10003314	AC-10420
339	CA-2014-129924	7/12/2014	7/17/2014	Standard Class	FUR-TA-10004575	AC-10420
341	CA-2014-122336	4/13/2014	4/17/2014	Second Class	OFF-AR-10000122	JD-15895
342	CA-2014-122336	4/13/2014	4/17/2014	Second Class	OFF-BI-10003656	JD-15895
343	CA-2014-122336	4/13/2014	4/17/2014	Second Class	OFF-FA-10002780	JD-15895
350	CA-2016-129714	9/1/2016	9/3/2016	First Class	TEC-AC-10000290	AB-10060
351	CA-2016-129714	9/1/2016	9/3/2016	First Class	OFF-PA-10001970	AB-10060
352	CA-2016-129714	9/1/2016	9/3/2016	First Class	OFF-BI-10002160	AB-10060
353	CA-2016-129714	9/1/2016	9/3/2016	First Class	OFF-PA-10001970	AB-10060
354	CA-2016-129714	9/1/2016	9/3/2016	First Class	OFF-BI-10004995	AB-10060
355	CA-2016-138520	4/8/2016	4/13/2016	Standard Class	FUR-BO-10002268	JL-15505
356	CA-2016-138520	4/8/2016	4/13/2016	Standard Class	OFF-EN-10001137	JL-15505
357	CA-2016-138520	4/8/2016	4/13/2016	Standard Class	OFF-AR-10002399	JL-15505
358	CA-2016-138520	4/8/2016	4/13/2016	Standard Class	OFF-PA-10002713	JL-15505
360	CA-2017-155698	3/8/2017	3/11/2017	First Class	OFF-AP-10001124	VB-21745
361	CA-2017-155698	3/8/2017	3/11/2017	First Class	OFF-LA-10001158	VB-21745
362	CA-2017-144904	9/25/2017	10/1/2017	Standard Class	OFF-LA-10001158	KW-16435
363	CA-2017-144904	9/25/2017	10/1/2017	Standard Class	FUR-CH-10000785	KW-16435
364	CA-2017-144904	9/25/2017	10/1/2017	Standard Class	OFF-AR-10003732	KW-16435
365	CA-2017-144904	9/25/2017	10/1/2017	Standard Class	FUR-FU-10000023	KW-16435
367	CA-2016-155516	10/21/2016	10/21/2016	Same Day	OFF-BI-10002412	MK-17905
368	CA-2016-155516	10/21/2016	10/21/2016	Same Day	OFF-SU-10001225	MK-17905
369	CA-2016-155516	10/21/2016	10/21/2016	Same Day	OFF-ST-10002406	MK-17905
370	CA-2016-155516	10/21/2016	10/21/2016	Same Day	FUR-BO-10002545	MK-17905
373	US-2014-119137	7/23/2014	7/27/2014	Standard Class	OFF-BI-10001982	AG-10900
374	US-2014-119137	7/23/2014	7/27/2014	Standard Class	TEC-AC-10003911	AG-10900
375	US-2014-119137	7/23/2014	7/27/2014	Standard Class	OFF-AR-10000658	AG-10900
376	US-2014-119137	7/23/2014	7/27/2014	Standard Class	TEC-AC-10002076	AG-10900
378	US-2017-134481	8/27/2017	9/1/2017	Standard Class	FUR-TA-10004915	AR-10405
385	US-2015-168935	11/27/2015	12/2/2015	Standard Class	FUR-TA-10000617	DO-13435
386	US-2015-168935	11/27/2015	12/2/2015	Standard Class	TEC-AC-10002335	DO-13435
387	CA-2015-122756	12/3/2015	12/7/2015	Standard Class	TEC-MA-10001681	DK-13225
388	CA-2015-122756	12/3/2015	12/7/2015	Standard Class	FUR-FU-10001935	DK-13225
392	US-2014-135972	9/21/2014	9/23/2014	Second Class	TEC-PH-10003012	JG-15115
393	US-2014-135972	9/21/2014	9/23/2014	Second Class	TEC-CO-10002313	JG-15115
399	CA-2016-108987	9/8/2016	9/10/2016	Second Class	OFF-ST-10001580	AG-10675
400	CA-2016-108987	9/8/2016	9/10/2016	Second Class	FUR-BO-10004834	AG-10675
401	CA-2016-108987	9/8/2016	9/10/2016	Second Class	OFF-ST-10000934	AG-10675
402	CA-2016-108987	9/8/2016	9/10/2016	Second Class	TEC-AC-10000158	AG-10675
406	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	TEC-AC-10000158	KH-16510
407	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	TEC-CO-10004115	KH-16510
408	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	OFF-PA-10003724	KH-16510
409	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	FUR-TA-10002041	KH-16510
410	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	OFF-PA-10002893	KH-16510
411	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	OFF-LA-10003766	KH-16510
412	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	OFF-PA-10001970	KH-16510
413	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	FUR-BO-10001972	KH-16510
414	CA-2017-117457	12/8/2017	12/12/2017	Standard Class	FUR-CH-10003956	KH-16510
415	CA-2017-142636	11/3/2017	11/7/2017	Standard Class	OFF-PA-10000157	KC-16675
416	CA-2017-142636	11/3/2017	11/7/2017	Standard Class	FUR-CH-10001891	KC-16675
418	CA-2016-148796	4/14/2016	4/18/2016	Standard Class	FUR-CH-10004886	PB-19150
425	CA-2017-155705	8/21/2017	8/23/2017	Second Class	FUR-CH-10000015	NF-18385
426	CA-2017-149160	11/23/2017	11/26/2017	Second Class	FUR-FU-10003347	JM-15265
427	CA-2017-149160	11/23/2017	11/26/2017	Second Class	OFF-BI-10001543	JM-15265
430	US-2016-123750	4/15/2016	4/21/2016	Standard Class	OFF-BI-10004584	RB-19795
431	US-2016-123750	4/15/2016	4/21/2016	Standard Class	TEC-AC-10004659	RB-19795
432	US-2016-123750	4/15/2016	4/21/2016	Standard Class	TEC-AC-10004659	RB-19795
433	US-2016-123750	4/15/2016	4/21/2016	Standard Class	OFF-ST-10000617	RB-19795
434	CA-2016-127369	6/6/2016	6/7/2016	First Class	OFF-ST-10003306	DB-13060
435	US-2014-150574	12/19/2014	12/25/2014	Standard Class	OFF-BI-10000773	MK-18160
436	US-2014-150574	12/19/2014	12/25/2014	Standard Class	TEC-AC-10002600	MK-18160
437	CA-2016-147375	6/12/2016	6/14/2016	Second Class	TEC-MA-10002937	PO-19180
438	CA-2016-147375	6/12/2016	6/14/2016	Second Class	OFF-PA-10001970	PO-19180
441	CA-2016-115756	9/5/2016	9/7/2016	Second Class	FUR-FU-10000246	PK-19075
442	CA-2016-115756	9/5/2016	9/7/2016	Second Class	OFF-ST-10000060	PK-19075
443	CA-2016-115756	9/5/2016	9/7/2016	Second Class	OFF-ST-10003058	PK-19075
445	CA-2016-115756	9/5/2016	9/7/2016	Second Class	FUR-CH-10002372	PK-19075
446	CA-2016-115756	9/5/2016	9/7/2016	Second Class	OFF-LA-10001317	PK-19075
448	CA-2016-166674	4/1/2016	4/3/2016	Second Class	OFF-AR-10000588	RB-19360
449	CA-2016-166674	4/1/2016	4/3/2016	Second Class	OFF-ST-10001469	RB-19360
450	CA-2016-166674	4/1/2016	4/3/2016	Second Class	OFF-AR-10001953	RB-19360
451	CA-2016-166674	4/1/2016	4/3/2016	Second Class	OFF-AR-10003156	RB-19360
452	CA-2016-166674	4/1/2016	4/3/2016	Second Class	OFF-AR-10004974	RB-19360
453	CA-2016-166674	4/1/2016	4/3/2016	Second Class	TEC-PH-10002365	RB-19360
454	CA-2017-147277	10/20/2017	10/24/2017	Standard Class	FUR-TA-10001539	EB-13705
455	CA-2017-147277	10/20/2017	10/24/2017	Standard Class	OFF-ST-10000142	EB-13705
458	US-2016-157945	9/26/2016	10/1/2016	Standard Class	FUR-CH-10002331	NF-18385
459	US-2016-157945	9/26/2016	10/1/2016	Standard Class	OFF-EN-10001415	NF-18385
460	CA-2015-109638	12/15/2015	12/22/2015	Standard Class	OFF-AP-10002472	JH-15985
461	CA-2015-109638	12/15/2015	12/22/2015	Standard Class	TEC-AC-10004571	JH-15985
462	CA-2015-109638	12/15/2015	12/22/2015	Standard Class	OFF-BI-10001098	JH-15985
463	CA-2016-109869	4/22/2016	4/29/2016	Standard Class	FUR-FU-10000023	TN-21040
464	CA-2016-109869	4/22/2016	4/29/2016	Standard Class	FUR-TA-10001889	TN-21040
465	CA-2016-109869	4/22/2016	4/29/2016	Standard Class	OFF-BI-10000315	TN-21040
466	CA-2016-109869	4/22/2016	4/29/2016	Standard Class	OFF-SU-10003505	TN-21040
467	CA-2016-109869	4/22/2016	4/29/2016	Standard Class	OFF-AP-10002578	TN-21040
468	US-2015-101399	1/17/2015	1/24/2015	Standard Class	FUR-FU-10002918	JS-15940
472	CA-2014-144666	11/9/2014	11/11/2014	Second Class	OFF-ST-10002743	JP-15520
473	CA-2014-144666	11/9/2014	11/11/2014	Second Class	FUR-BO-10001601	JP-15520
474	CA-2014-144666	11/9/2014	11/11/2014	Second Class	TEC-PH-10002680	JP-15520
475	CA-2014-144666	11/9/2014	11/11/2014	Second Class	OFF-ST-10001321	JP-15520
477	CA-2014-144666	11/9/2014	11/11/2014	Second Class	OFF-PA-10003465	JP-15520
480	CA-2016-100790	6/26/2016	7/2/2016	Standard Class	OFF-AR-10003045	JG-15805
481	CA-2016-100790	6/26/2016	7/2/2016	Standard Class	OFF-ST-10000689	JG-15805
485	CA-2017-140963	6/10/2017	6/13/2017	First Class	OFF-LA-10003923	MT-18070
486	CA-2017-140963	6/10/2017	6/13/2017	First Class	FUR-BO-10001337	MT-18070
487	CA-2017-140963	6/10/2017	6/13/2017	First Class	TEC-PH-10001924	MT-18070
488	CA-2014-154627	10/29/2014	10/31/2014	First Class	TEC-PH-10001363	SA-20830
492	CA-2014-113362	9/14/2014	9/19/2014	Standard Class	OFF-ST-10001809	AJ-10960
493	CA-2014-113362	9/14/2014	9/19/2014	Standard Class	OFF-EN-10003845	AJ-10960
497	CA-2016-126158	7/25/2016	7/31/2016	Standard Class	OFF-BI-10002498	SC-20095
498	CA-2016-126158	7/25/2016	7/31/2016	Standard Class	FUR-FU-10004864	SC-20095
499	CA-2016-126158	7/25/2016	7/31/2016	Standard Class	FUR-CH-10002602	SC-20095
500	CA-2016-126158	7/25/2016	7/31/2016	Standard Class	FUR-FU-10000073	SC-20095
501	US-2016-105578	5/30/2016	6/4/2016	Standard Class	OFF-BI-10001670	MY-17380
502	US-2016-105578	5/30/2016	6/4/2016	Standard Class	OFF-BI-10001658	MY-17380
503	US-2016-105578	5/30/2016	6/4/2016	Standard Class	FUR-CH-10001215	MY-17380
504	US-2016-105578	5/30/2016	6/4/2016	Standard Class	OFF-BI-10000831	MY-17380
505	US-2016-105578	5/30/2016	6/4/2016	Standard Class	OFF-PA-10000357	MY-17380
507	CA-2015-145352	3/16/2015	3/22/2015	Standard Class	OFF-AR-10001662	CM-12385
508	CA-2015-145352	3/16/2015	3/22/2015	Standard Class	OFF-AR-10003856	CM-12385
509	CA-2015-145352	3/16/2015	3/22/2015	Standard Class	OFF-ST-10001228	CM-12385
510	CA-2015-145352	3/16/2015	3/22/2015	Standard Class	OFF-BI-10003527	CM-12385
516	CA-2017-127432	1/22/2017	1/27/2017	Standard Class	TEC-CO-10003236	AD-10180
517	CA-2017-127432	1/22/2017	1/27/2017	Standard Class	OFF-ST-10004507	AD-10180
518	CA-2017-127432	1/22/2017	1/27/2017	Standard Class	OFF-PA-10001667	AD-10180
519	CA-2017-127432	1/22/2017	1/27/2017	Standard Class	OFF-ST-10004459	AD-10180
527	CA-2017-113558	10/21/2017	10/26/2017	Standard Class	FUR-CH-10003379	PH-18790
528	CA-2017-113558	10/21/2017	10/26/2017	Standard Class	FUR-FU-10001756	PH-18790
529	US-2015-138303	9/3/2015	9/7/2015	Standard Class	OFF-ST-10004963	MG-18145
530	US-2015-138303	9/3/2015	9/7/2015	Standard Class	OFF-SU-10002881	MG-18145
531	US-2015-138303	9/3/2015	9/7/2015	Standard Class	OFF-EN-10001335	MG-18145
534	CA-2016-168753	5/29/2016	6/1/2016	Second Class	TEC-PH-10000984	RL-19615
535	CA-2016-168753	5/29/2016	6/1/2016	Second Class	OFF-BI-10002557	RL-19615
539	CA-2015-134894	12/7/2015	12/11/2015	Standard Class	OFF-AP-10001271	DK-12985
